model_name,provider,dataset,weighted_score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,78.22%
MiniMax-M2,MiniMax,MiniMax training dataset,72.69%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,71.23%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,68.95%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,66.32%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,66.23%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,66.15%
Qwen3 Max,Alibaba,Alibaba training dataset,65.90%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,65.66%
Command-R (Aug '24),Cohere,Cohere training dataset,65.19%
Command-R (Mar '24),Cohere,Cohere training dataset,65.15%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,65.14%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,65.00%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,64.81%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,63.49%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,63.40%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,63.01%
Mistral 7B Instruct,Mistral,Mistral training dataset,62.21%
Codestral-Mamba,Mistral,Mistral training dataset,61.96%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,61.55%
Magistral Medium 1.2,Mistral,Mistral training dataset,61.12%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,60.73%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,60.33%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,60.30%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,59.51%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,59.07%
GLM-4.5-Air,Z AI,Z AI training dataset,58.45%
Kimi K2,Moonshot AI,Moonshot AI training dataset,58.05%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,57.48%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,56.34%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,55.15%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,54.99%
Ring-1T,InclusionAI,InclusionAI training dataset,54.97%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,54.93%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,54.89%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,54.41%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,54.19%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,54.19%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,53.99%
Ling-1T,InclusionAI,InclusionAI training dataset,53.77%
Magistral Small 1.2,Mistral,Mistral training dataset,53.77%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,53.59%
MiniMax M1 80k,MiniMax,MiniMax training dataset,53.49%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,53.21%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,52.84%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,52.27%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,52.23%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,51.66%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,51.63%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,51.55%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,51.38%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,50.95%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,50.81%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,50.50%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,50.34%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,49.84%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,49.82%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,49.75%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,49.13%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,48.91%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,48.88%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,48.54%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,48.16%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,47.73%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,46.31%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,46.09%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,44.69%
Mistral Medium 3.1,Mistral,Mistral training dataset,44.64%
MiniMax M1 40k,MiniMax,MiniMax training dataset,44.33%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,43.95%
QwQ 32B,Alibaba,Alibaba training dataset,43.83%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,42.45%
Llama 4 Maverick,Meta,Meta training dataset,42.31%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,41.98%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,41.79%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,41.69%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,41.37%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,41.32%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,41.18%
Qwen2.5 Max,Alibaba,Alibaba training dataset,41.03%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,40.71%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,40.59%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,40.03%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,39.92%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,39.83%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,39.48%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,38.66%
Mistral Small 3.2,Mistral,Mistral training dataset,38.20%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,38.18%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,38.13%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,37.77%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,37.38%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,37.37%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,37.23%
Llama 4 Scout,Meta,Meta training dataset,37.10%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,36.88%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,36.29%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,36.19%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,36.09%
Grok 2 (Dec '24),xAI,xAI training dataset,36.07%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,36.07%
Devstral Small (Jul '25),Mistral,Mistral training dataset,36.05%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,35.99%
MiniMax-Text-01,MiniMax,MiniMax training dataset,35.91%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,35.75%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,35.65%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,35.59%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,35.45%
Pixtral Large,Mistral,Mistral training dataset,35.24%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,35.03%
Command A,Cohere,Cohere training dataset,34.82%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,34.77%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,34.09%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,34.04%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,33.77%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,33.76%
Reka Flash 3,Reka AI,Reka AI training dataset,33.72%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,33.42%
Solar Mini,Upstage,Upstage training dataset,33.30%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,33.12%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,32.69%
